Meta data,,,
Physical channel, Start Time, Sample Interval, Sample Count
Channel 0 (PXI1Slot5/0),-0.598017313,0.00001201,100000
,,,
Data,,,
Channel 0 (PXI1Slot5/0),,,
0.003840399,0,,
0.003812628,0.00001201,,
0.003618227,0.00002402,,
0.003812628,0.00003603,,
0.003590455,0.00004804,,
0.003784856,0.00006005,,
0.003534912,0.00007206,,
0.003895943,0.00008407,,
0.003895943,0.00009608,,
0.003979257,0.00010809,,
0.003840399,0.0001201,,
0.003784856,0.00013211,,
0.003618227,0.00014412,,
0.003590455,0.00015613,,
0.004062572,0.00016814,,
0.003923714,0.00018015,,
0.003812628,0.00019216,,
0.003951486,0.00020417,,
0.004007029,0.00021618,,
0.003729313,0.00022819,,
0.003618227,0.0002402,,
0.003757085,0.00025221,,
0.003645998,0.00026422,,
0.003645998,0.00027623,,
0.00367377,0.00028824,,
0.003340511,0.00030025,,
0.003701542,0.00031226,,
0.003451597,0.00032427,,
0.00367377,0.00033628,,
0.004090344,0.00034829,,
0.003951486,0.0003603,,
0.004007029,0.00037231,,
0.004034801,0.00038432,,
0.003979257,0.00039633,,
0.004007029,0.00040834,,
0.004229202,0.00042035,,
0.004312516,0.00043236,,
0.004090344,0.00044437,,
0.004090344,0.00045638,,
0.004173658,0.00046839,,
0.004145887,0.0004804,,
0.003923714,0.00049241,,
0.003701542,0.00050442,,
0.004229202,0.00051643,,
0.003979257,0.00052844,,
0.003868171,0.00054045,,
0.003895943,0.00055246,,
0.004062572,0.00056447,,
0.00367377,0.00057648,,
0.003784856,0.00058849,,
0.003757085,0.0006005,,
0.003618227,0.00061251,,
0.00367377,0.00062452,,
0.003840399,0.00063653,,
0.003784856,0.00064854,,
0.00367377,0.00066055,,
0.003757085,0.00067256,,
0.003812628,0.00068457,,
0.00367377,0.00069658,,
0.00350714,0.00070859,,
0.003618227,0.0007206,,
0.004173658,0.00073261,,
0.003840399,0.00074462,,
0.004034801,0.00075663,,
0.004090344,0.00076864,,
0.004034801,0.00078065,,
0.003868171,0.00079266,,
0.004034801,0.00080467,,
0.004173658,0.00081668,,
0.004062572,0.00082869,,
0.003729313,0.0008407,,
0.00420143,0.00085271,,
0.003951486,0.00086472,,
0.003868171,0.00087673,,
0.003923714,0.00088874,,
0.00367377,0.00090075,,
0.003979257,0.00091276,,
0.003923714,0.00092477,,
0.003701542,0.00093678,,
0.003923714,0.00094879,,
0.003895943,0.0009608,,
0.004145887,0.00097281,,
0.003895943,0.00098482,,
0.004090344,0.00099683,,
0.004145887,0.00100884,,
0.004145887,0.00102085,,
0.003840399,0.00103286,,
0.004034801,0.00104487,,
0.003840399,0.00105688,,
0.003895943,0.00106889,,
0.003923714,0.0010809,,
0.003979257,0.00109291,,
0.004062572,0.00110492,,
0.004007029,0.00111693,,
0.003757085,0.00112894,,
0.003979257,0.00114095,,
0.003784856,0.00115296,,
0.004007029,0.00116497,,
0.003812628,0.00117698,,
0.003979257,0.00118899,,
0.003812628,0.001201,,
0.003895943,0.00121301,,
0.003868171,0.00122502,,
0.004034801,0.00123703,,
0.003868171,0.00124904,,
0.003784856,0.00126105,,
0.004256973,0.00127306,,
0.004118115,0.00128507,,
0.004007029,0.00129708,,
0.004312516,0.00130909,,
0.004229202,0.0013211,,
0.003923714,0.00133311,,
0.003812628,0.00134512,,
0.004034801,0.00135713,,
0.003701542,0.00136914,,
0.003951486,0.00138115,,
0.004145887,0.00139316,,
0.003812628,0.00140517,,
0.003645998,0.00141718,,
0.003923714,0.00142919,,
0.003868171,0.0014412,,
0.003868171,0.00145321,,
0.003895943,0.00146522,,
0.003562684,0.00147723,,
0.003784856,0.00148924,,
0.004118115,0.00150125,,
0.003840399,0.00151326,,
0.003895943,0.00152527,,
0.004007029,0.00153728,,
0.004007029,0.00154929,,
0.003618227,0.0015613,,
0.003840399,0.00157331,,
0.003951486,0.00158532,,
0.003895943,0.00159733,,
0.004034801,0.00160934,,
0.004118115,0.00162135,,
0.003757085,0.00163336,,
0.003868171,0.00164537,,
0.004118115,0.00165738,,
0.003618227,0.00166939,,
0.003895943,0.0016814,,
0.003951486,0.00169341,,
0.003618227,0.00170542,,
0.00367377,0.00171743,,
0.004284745,0.00172944,,
0.003868171,0.00174145,,
0.003701542,0.00175346,,
0.004145887,0.00176547,,
0.003895943,0.00177748,,
0.004118115,0.00178949,,
0.00420143,0.0018015,,
0.003840399,0.00181351,,
0.004034801,0.00182552,,
0.004423603,0.00183753,,
0.004173658,0.00184954,,
0.003979257,0.00186155,,
0.003923714,0.00187356,,
0.004062572,0.00188557,,
0.004118115,0.00189758,,
0.004284745,0.00190959,,
0.004118115,0.0019216,,
0.003812628,0.00193361,,
0.004229202,0.00194562,,
0.004034801,0.00195763,,
0.003812628,0.00196964,,
0.003895943,0.00198165,,
0.003923714,0.00199366,,
0.003812628,0.00200567,,
0.004007029,0.00201768,,
0.004090344,0.00202969,,
0.003784856,0.0020417,,
0.003923714,0.00205371,,
0.004229202,0.00206572,,
0.003951486,0.00207773,,
0.003979257,0.00208974,,
0.004090344,0.00210175,,
0.003868171,0.00211376,,
0.003951486,0.00212577,,
0.004034801,0.00213778,,
0.003868171,0.00214979,,
0.003868171,0.0021618,,
0.003812628,0.00217381,,
0.003840399,0.00218582,,
0.003868171,0.00219783,,
0.003868171,0.00220984,,
0.003784856,0.00222185,,
0.003812628,0.00223386,,
0.004256973,0.00224587,,
0.003812628,0.00225788,,
0.003923714,0.00226989,,
0.003923714,0.0022819,,
0.003840399,0.00229391,,
0.004090344,0.00230592,,
0.004173658,0.00231793,,
0.004145887,0.00232994,,
0.004118115,0.00234195,,
0.004062572,0.00235396,,
0.003868171,0.00236597,,
0.003951486,0.00237798,,
0.004090344,0.00238999,,
0.003895943,0.002402,,
0.003784856,0.00241401,,
0.004173658,0.00242602,,
0.00350714,0.00243803,,
0.003895943,0.00245004,,
0.004090344,0.00246205,,
0.003729313,0.00247406,,
0.003645998,0.00248607,,
0.003840399,0.00249808,,
0.003479369,0.00251009,,
0.003701542,0.0025221,,
0.003840399,0.00253411,,
0.003784856,0.00254612,,
0.003645998,0.00255813,,
0.003895943,0.00257014,,
0.003923714,0.00258215,,
0.003562684,0.00259416,,
0.004090344,0.00260617,,
0.003895943,0.00261818,,
0.00420143,0.00263019,,
0.004284745,0.0026422,,
0.004062572,0.00265421,,
0.003840399,0.00266622,,
0.004312516,0.00267823,,
0.003840399,0.00269024,,
0.003923714,0.00270225,,
0.003923714,0.00271426,,
0.003951486,0.00272627,,
0.003951486,0.00273828,,
0.003979257,0.00275029,,
0.004007029,0.0027623,,
0.003979257,0.00277431,,
0.00420143,0.00278632,,
0.004229202,0.00279833,,
0.004007029,0.00281034,,
0.003951486,0.00282235,,
0.003701542,0.00283436,,
0.003645998,0.00284637,,
0.003868171,0.00285838,,
0.004062572,0.00287039,,
0.003757085,0.0028824,,
0.003757085,0.00289441,,
0.003645998,0.00290642,,
0.003923714,0.00291843,,
0.004062572,0.00293044,,
0.003479369,0.00294245,,
0.003645998,0.00295446,,
0.003757085,0.00296647,,
0.003701542,0.00297848,,
0.003895943,0.00299049,,
0.003868171,0.0030025,,
0.003868171,0.00301451,,
0.003895943,0.00302652,,
0.003784856,0.00303853,,
0.003840399,0.00305054,,
0.003923714,0.00306255,,
0.003812628,0.00307456,,
0.003951486,0.00308657,,
0.003979257,0.00309858,,
0.003840399,0.00311059,,
0.003895943,0.0031226,,
0.003784856,0.00313461,,
0.003868171,0.00314662,,
0.00420143,0.00315863,,
0.003951486,0.00317064,,
0.003645998,0.00318265,,
0.004118115,0.00319466,,
0.003784856,0.00320667,,
0.003645998,0.00321868,,
0.003701542,0.00323069,,
0.003618227,0.0032427,,
0.003590455,0.00325471,,
0.003784856,0.00326672,,
0.003562684,0.00327873,,
0.003645998,0.00329074,,
0.003701542,0.00330275,,
0.003451597,0.00331476,,
0.003257196,0.00332677,,
0.003396054,0.00333878,,
0.003423826,0.00335079,,
0.003562684,0.0033628,,
0.003701542,0.00337481,,
0.003534912,0.00338682,,
0.003729313,0.00339883,,
0.003951486,0.00341084,,
0.003840399,0.00342285,,
0.003840399,0.00343486,,
0.004173658,0.00344687,,
0.00367377,0.00345888,,
0.003923714,0.00347089,,
0.004173658,0.0034829,,
0.003645998,0.00349491,,
0.003868171,0.00350692,,
0.004229202,0.00351893,,
0.004173658,0.00353094,,
0.004034801,0.00354295,,
0.004062572,0.00355496,,
0.003951486,0.00356697,,
0.004007029,0.00357898,,
0.003979257,0.00359099,,
0.003979257,0.003603,,
0.003979257,0.00361501,,
0.004118115,0.00362702,,
0.004090344,0.00363903,,
0.003784856,0.00365104,,
0.004284745,0.00366305,,
0.004118115,0.00367506,,
0.003729313,0.00368707,,
0.004118115,0.00369908,,
0.004007029,0.00371109,,
0.00350714,0.0037231,,
0.003895943,0.00373511,,
0.003895943,0.00374712,,
0.003618227,0.00375913,,
0.003701542,0.00377114,,
0.003701542,0.00378315,,
0.003645998,0.00379516,,
0.003701542,0.00380717,,
0.003979257,0.00381918,,
0.003562684,0.00383119,,
0.003840399,0.0038432,,
0.003923714,0.00385521,,
0.004034801,0.00386722,,
0.00436806,0.00387923,,
0.004340288,0.00389124,,
0.003840399,0.00390325,,
0.004062572,0.00391526,,
0.004173658,0.00392727,,
0.004034801,0.00393928,,
0.003895943,0.00395129,,
0.004118115,0.0039633,,
0.004312516,0.00397531,,
0.003729313,0.00398732,,
0.004229202,0.00399933,,
0.003840399,0.00401134,,
0.003868171,0.00402335,,
0.004062572,0.00403536,,
0.003895943,0.00404737,,
0.003618227,0.00405938,,
0.003868171,0.00407139,,
0.003895943,0.0040834,,
0.003618227,0.00409541,,
0.004034801,0.00410742,,
0.003951486,0.00411943,,
0.003701542,0.00413144,,
0.003868171,0.00414345,,
0.003618227,0.00415546,,
0.003645998,0.00416747,,
0.003784856,0.00417948,,
0.004007029,0.00419149,,
0.003618227,0.0042035,,
0.003840399,0.00421551,,
0.00367377,0.00422752,,
0.003812628,0.00423953,,
0.003701542,0.00425154,,
0.004173658,0.00426355,,
0.003840399,0.00427556,,
0.003701542,0.00428757,,
0.004062572,0.00429958,,
0.004007029,0.00431159,,
0.003701542,0.0043236,,
0.003979257,0.00433561,,
0.003951486,0.00434762,,
0.003784856,0.00435963,,
0.003729313,0.00437164,,
0.003812628,0.00438365,,
0.004034801,0.00439566,,
0.003757085,0.00440767,,
0.003923714,0.00441968,,
0.003757085,0.00443169,,
0.003618227,0.0044437,,
0.004118115,0.00445571,,
0.003840399,0.00446772,,
0.003757085,0.00447973,,
0.003812628,0.00449174,,
0.004062572,0.00450375,,
0.003951486,0.00451576,,
0.003951486,0.00452777,,
0.003729313,0.00453978,,
0.003951486,0.00455179,,
0.003951486,0.0045638,,
0.003784856,0.00457581,,
0.003757085,0.00458782,,
0.003701542,0.00459983,,
0.004090344,0.00461184,,
0.004118115,0.00462385,,
0.003812628,0.00463586,,
0.003895943,0.00464787,,
0.003868171,0.00465988,,
0.003701542,0.00467189,,
0.003840399,0.0046839,,
0.00367377,0.00469591,,
0.004090344,0.00470792,,
0.003618227,0.00471993,,
0.003923714,0.00473194,,
0.003534912,0.00474395,,
0.003868171,0.00475596,,
0.003757085,0.00476797,,
0.003979257,0.00477998,,
0.003645998,0.00479199,,
0.003868171,0.004804,,
0.003923714,0.00481601,,
0.003784856,0.00482802,,
0.003701542,0.00484003,,
0.003423826,0.00485204,,
0.004062572,0.00486405,,
0.003868171,0.00487606,,
0.003895943,0.00488807,,
0.003812628,0.00490008,,
0.003618227,0.00491209,,
0.003729313,0.0049241,,
0.003757085,0.00493611,,
0.00367377,0.00494812,,
0.003729313,0.00496013,,
0.003729313,0.00497214,,
0.003812628,0.00498415,,
0.003590455,0.00499616,,
0.003618227,0.00500817,,
0.003812628,0.00502018,,
0.003895943,0.00503219,,
0.00367377,0.0050442,,
0.003868171,0.00505621,,
0.003840399,0.00506822,,
0.003757085,0.00508023,,
0.003951486,0.00509224,,
0.004034801,0.00510425,,
0.003979257,0.00511626,,
0.003923714,0.00512827,,
0.003784856,0.00514028,,
0.004034801,0.00515229,,
0.003812628,0.0051643,,
0.003895943,0.00517631,,
0.003951486,0.00518832,,
0.003840399,0.00520033,,
0.003868171,0.00521234,,
0.003840399,0.00522435,,
0.003979257,0.00523636,,
0.003757085,0.00524837,,
0.003812628,0.00526038,,
0.003951486,0.00527239,,
0.003979257,0.0052844,,
0.003784856,0.00529641,,
0.003701542,0.00530842,,
0.003812628,0.00532043,,
0.003784856,0.00533244,,
0.003534912,0.00534445,,
0.003840399,0.00535646,,
0.003784856,0.00536847,,
0.003701542,0.00538048,,
0.003868171,0.00539249,,
0.003895943,0.0054045,,
0.003923714,0.00541651,,
0.004090344,0.00542852,,
0.004118115,0.00544053,,
0.003923714,0.00545254,,
0.004007029,0.00546455,,
0.004395831,0.00547656,,
0.004090344,0.00548857,,
0.004118115,0.00550058,,
0.004173658,0.00551259,,
0.003979257,0.0055246,,
0.003784856,0.00553661,,
0.004062572,0.00554862,,
0.003951486,0.00556063,,
0.003729313,0.00557264,,
0.003979257,0.00558465,,
0.003729313,0.00559666,,
0.00350714,0.00560867,,
0.003757085,0.00562068,,
0.003340511,0.00563269,,
0.003701542,0.0056447,,
0.003701542,0.00565671,,
0.003701542,0.00566872,,
0.003645998,0.00568073,,
0.003618227,0.00569274,,
0.003895943,0.00570475,,
0.003618227,0.00571676,,
0.003645998,0.00572877,,
0.003812628,0.00574078,,
0.003757085,0.00575279,,
0.003701542,0.0057648,,
0.003923714,0.00577681,,
0.003784856,0.00578882,,
0.003951486,0.00580083,,
0.003840399,0.00581284,,
0.004118115,0.00582485,,
0.004007029,0.00583686,,
0.004118115,0.00584887,,
0.003951486,0.00586088,,
0.004145887,0.00587289,,
0.004007029,0.0058849,,
0.003840399,0.00589691,,
0.004145887,0.00590892,,
0.004118115,0.00592093,,
0.003645998,0.00593294,,
0.004034801,0.00594495,,
0.003923714,0.00595696,,
0.003840399,0.00596897,,
0.003784856,0.00598098,,
0.003784856,0.00599299,,
0.003812628,0.006005,,
0.00350714,0.00601701,,
0.003895943,0.00602902,,
0.00350714,0.00604103,,
0.003590455,0.00605304,,
0.003423826,0.00606505,,
0.003618227,0.00607706,,
0.003479369,0.00608907,,
0.003173881,0.00610108,,
0.003396054,0.00611309,,
0.003479369,0.0061251,,
0.003534912,0.00613711,,
0.003451597,0.00614912,,
0.003729313,0.00616113,,
0.003618227,0.00617314,,
0.003618227,0.00618515,,
0.003729313,0.00619716,,
0.003729313,0.00620917,,
0.003868171,0.00622118,,
0.003729313,0.00623319,,
0.003645998,0.0062452,,
0.003868171,0.00625721,,
0.003757085,0.00626922,,
0.003923714,0.00628123,,
0.003923714,0.00629324,,
0.004118115,0.00630525,,
0.003868171,0.00631726,,
0.004062572,0.00632927,,
0.003840399,0.00634128,,
0.00420143,0.00635329,,
0.004034801,0.0063653,,
0.003868171,0.00637731,,
0.003784856,0.00638932,,
0.003923714,0.00640133,,
0.003701542,0.00641334,,
0.003812628,0.00642535,,
0.00367377,0.00643736,,
0.003868171,0.00644937,,
0.003840399,0.00646138,,
0.003590455,0.00647339,,
0.003645998,0.0064854,,
0.003701542,0.00649741,,
0.003868171,0.00650942,,
0.003757085,0.00652143,,
0.003812628,0.00653344,,
0.003757085,0.00654545,,
0.003729313,0.00655746,,
0.00367377,0.00656947,,
0.003923714,0.00658148,,
0.003923714,0.00659349,,
0.003396054,0.0066055,,
0.003784856,0.00661751,,
0.003451597,0.00662952,,
0.003951486,0.00664153,,
0.004090344,0.00665354,,
0.003701542,0.00666555,,
0.003534912,0.00667756,,
0.00367377,0.00668957,,
0.00350714,0.00670158,,
0.003840399,0.00671359,,
0.003784856,0.0067256,,
0.003701542,0.00673761,,
0.003729313,0.00674962,,
0.003590455,0.00676163,,
0.003590455,0.00677364,,
0.003701542,0.00678565,,
0.004007029,0.00679766,,
0.003923714,0.00680967,,
0.003757085,0.00682168,,
0.003784856,0.00683369,,
0.003812628,0.0068457,,
0.003951486,0.00685771,,
0.003979257,0.00686972,,
0.003923714,0.00688173,,
0.004034801,0.00689374,,
0.003923714,0.00690575,,
0.003840399,0.00691776,,
0.003868171,0.00692977,,
0.003840399,0.00694178,,
0.003757085,0.00695379,,
0.003757085,0.0069658,,
0.003729313,0.00697781,,
0.003618227,0.00698982,,
0.003618227,0.00700183,,
0.00350714,0.00701384,,
0.003284968,0.00702585,,
0.00350714,0.00703786,,
0.003840399,0.00704987,,
0.003562684,0.00706188,,
0.003701542,0.00707389,,
0.00367377,0.0070859,,
0.003840399,0.00709791,,
0.003645998,0.00710992,,
0.003534912,0.00712193,,
0.003729313,0.00713394,,
0.003895943,0.00714595,,
0.00367377,0.00715796,,
0.003895943,0.00716997,,
0.004062572,0.00718198,,
0.004118115,0.00719399,,
0.003923714,0.007206,,
0.003951486,0.00721801,,
0.003812628,0.00723002,,
0.003840399,0.00724203,,
0.003895943,0.00725404,,
0.003645998,0.00726605,,
0.003923714,0.00727806,,
0.003618227,0.00729007,,
0.003645998,0.00730208,,
0.003590455,0.00731409,,
0.003562684,0.0073261,,
0.003479369,0.00733811,,
0.003534912,0.00735012,,
0.003590455,0.00736213,,
0.003701542,0.00737414,,
0.003534912,0.00738615,,
0.003840399,0.00739816,,
0.003701542,0.00741017,,
0.003618227,0.00742218,,
0.003757085,0.00743419,,
0.003701542,0.0074462,,
0.003840399,0.00745821,,
0.003757085,0.00747022,,
0.003729313,0.00748223,,
0.003812628,0.00749424,,
0.003895943,0.00750625,,
0.003645998,0.00751826,,
0.003951486,0.00753027,,
0.003729313,0.00754228,,
0.003729313,0.00755429,,
0.003840399,0.0075663,,
0.003868171,0.00757831,,
0.003784856,0.00759032,,
0.003840399,0.00760233,,
0.003812628,0.00761434,,
