Meta data,,,
Physical channel, Start Time, Sample Interval, Sample Count
Channel 0 (PXI1Slot5/0),-0.003533533,0.000001,13002
,,,
Data,,,
Channel 0 (PXI1Slot5/0),,,
0.000313408,0,,
9.12358E-05,0.000001,,
0.000618896,0.000002,,
0.00050781,0.000003,,
0.000202322,0.000004,,
-0.000158708,0.000005,,
0.000202322,0.000006,,
-4.76221E-05,0.000007,,
0.000202322,0.000008,,
0.000257865,0.000009,,
0.000452266,0.00001,,
0.000119007,0.000011,,
0.000202322,0.000012,,
6.34642E-05,0.000013,,
0.000285637,0.000014,,
0.000202322,0.000015,,
0.000285637,0.000016,,
0.000368952,0.000017,,
3.56927E-05,0.000018,,
0.000174551,0.000019,,
0.000480038,0.00002,,
3.56927E-05,0.000021,,
0.000202322,0.000022,,
3.56927E-05,0.000023,,
0.000202322,0.000024,,
0.000396723,0.000025,,
0.000230094,0.000026,,
0.000285637,0.000027,,
-7.53937E-05,0.000028,,
0.000174551,0.000029,,
0.000424495,0.00003,,
0.000285637,0.000031,,
0.000230094,0.000032,,
3.56927E-05,0.000033,,
0.000368952,0.000034,,
0.000368952,0.000035,,
0.000174551,0.000036,,
9.12358E-05,0.000037,,
0.000368952,0.000038,,
0.000174551,0.000039,,
0.000313408,0.00004,,
9.12358E-05,0.000041,,
9.12358E-05,0.000042,,
0.000174551,0.000043,,
0.000119007,0.000044,,
-0.000103165,0.000045,,
9.12358E-05,0.000046,,
0.000146779,0.000047,,
0.000119007,0.000048,,
0.00034118,0.000049,,
-7.53937E-05,0.00005,,
0.000202322,0.000051,,
0.000424495,5.2E-05,,
9.12358E-05,5.3E-05,,
0.000230094,5.4E-05,,
0.000202322,5.5E-05,,
0.000174551,5.6E-05,,
0.000146779,5.7E-05,,
-7.53937E-05,5.8E-05,,
0.000313408,5.9E-05,,
6.34642E-05,6E-05,,
0.000396723,6.1E-05,,
0.000174551,6.2E-05,,
0.00034118,6.3E-05,,
0.000230094,6.4E-05,,
6.34642E-05,6.5E-05,,
0.000785525,6.6E-05,,
0.000285637,6.7E-05,,
3.56927E-05,6.8E-05,,
0.000119007,6.9E-05,,
9.12358E-05,7E-05,,
-0.000103165,7.1E-05,,
0.000202322,7.2E-05,,
0.000230094,7.3E-05,,
3.56927E-05,7.4E-05,,
7.92107E-06,7.5E-05,,
0.000119007,7.6E-05,,
9.12358E-05,7.7E-05,,
9.12358E-05,7.8E-05,,
-0.000103165,7.9E-05,,
0.000257865,8E-05,,
0.000285637,8.1E-05,,
0.000257865,8.2E-05,,
0.00034118,8.3E-05,,
0.000202322,8.4E-05,,
0.000313408,8.5E-05,,
0.000119007,8.6E-05,,
0.000257865,8.7E-05,,
0.000119007,8.8E-05,,
0.000174551,8.9E-05,,
0.000174551,9E-05,,
3.56927E-05,9.1E-05,,
0.000202322,9.2E-05,,
