Meta data,,,
Physical channel, Start Time, Sample Interval, Sample Count
Channel 0 (PXI1Slot5/0),-32.76684577,0.00065535,100000
,,,
Data,,,
Channel 0 (PXI1Slot5/0),,,
-0.001102942,0,,
-0.000852998,0.00065535,,
-0.00140843,0.0013107,,
-0.001214029,0.00196605,,
-0.001463973,0.0026214,,
-0.001352886,0.00327675,,
-0.001102942,0.0039321,,
-0.001019627,0.00458745,,
-0.001269572,0.0052428,,
-0.001658374,0.00589815,,
-0.001491744,0.0065535,,
-0.001297343,0.00720885,,
-0.0012418,0.0078642,,
-0.000991856,0.00851955,,
-0.001547288,0.0091749,,
-0.001547288,0.00983025,,
-0.001325115,0.0104856,,
-0.001547288,0.01114095,,
-0.001297343,0.0117963,,
-0.000741912,0.01245165,,
-0.001102942,0.013107,,
-0.001102942,0.01376235,,
-0.001325115,0.0144177,,
-0.001630602,0.01507305,,
-0.001797232,0.0157284,,
-0.001047399,0.01638375,,
-0.001630602,0.0170391,,
-0.000964084,0.01769445,,
-0.001658374,0.0183498,,
-0.0012418,0.01900515,,
-0.000797455,0.0196605,,
-0.001575059,0.02031585,,
-0.0012418,0.0209712,,
-0.001352886,0.02162655,,
-0.001352886,0.0222819,,
-0.000936313,0.02293725,,
-0.001463973,0.0235926,,
-0.001269572,0.02424795,,
-0.001463973,0.0249033,,
-0.00140843,0.02555865,,
-0.001547288,0.026214,,
-0.001352886,0.02686935,,
-0.001491744,0.0275247,,
-0.001352886,0.02818005,,
-0.001214029,0.0288354,,
-0.001325115,0.02949075,,
-0.001519516,0.0301461,,
-0.001380658,0.03080145,,
-0.001019627,0.0314568,,
-0.001602831,0.03211215,,
-0.001130714,0.0327675,,
-0.001214029,0.03342285,,
-0.001519516,0.0340782,,
-0.001269572,0.03473355,,
-0.001325115,0.0353889,,
-0.00140843,0.03604425,,
-0.001630602,0.0366996,,
-0.001297343,0.03735495,,
-0.000908541,0.0380103,,
-0.001214029,0.03866565,,
-0.001019627,0.039321,,
-0.001575059,0.03997635,,
-0.001436201,0.0406317,,
-0.001297343,0.04128705,,
-0.001102942,0.0419424,,
-0.001352886,0.04259775,,
-0.001491744,0.0432531,,
-0.001214029,0.04390845,,
-0.001102942,0.0445638,,
-0.001352886,0.04521915,,
-0.001186257,0.0458745,,
-0.00088077,0.04652985,,
-0.001158485,0.0471852,,
-0.0012418,0.04784055,,
-0.00140843,0.0484959,,
-0.001436201,0.04915125,,
-0.001019627,0.0498066,,
