Meta data
Physical channel, Start Time, Sample Interval, Sample Count
Channel 0 (PXI1Slot5/0), -0.0120195935368957, 0.000001, 26002
Channel 1 (PXI1Slot5/1), -0.0120195935368957, 0.000001, 26002

Data
Channel 0 (PXI1Slot5/0), Channel 1 (PXI1Slot5/1)
-2.00617300876183, -1.96090118441498
-2.00549082015641, -1.9629532166291
-2.00821957457811, -1.96158519515302
-2.00617300876183, -1.9595331629389
-2.00617300876183, -1.96363722736714
-2.00753738597268, -1.95884915220086
-2.00753738597268, -1.9629532166291
-2.00617300876183, -1.96158519515302
-2.00890176318353, -1.9595331629389
-2.00207987712929, -1.96705728105735
-2.00344425434014, -1.96363722736714
-2.00685519736726, -1.96226920589106
-2.00480863155099, -1.96158519515302
-2.00549082015641, -1.96226920589106
-2.00685519736726, -1.96090118441498
-2.00344425434014, -1.96363722736714
-2.00412644294556, -1.96363722736714
-2.00412644294556, -1.96568925958127
-2.00344425434014, -1.9629532166291
-2.00753738597268, -1.96090118441498
-2.00276206573471, -1.96021717367694
-2.00958395178895, -1.96158519515302
-2.00412644294556, -1.9629532166291
-2.00480863155099, -1.9629532166291
-2.00344425434014, -1.96432123810519
-2.00617300876183, -1.96637327031931
-2.00549082015641, -1.95884915220086
-2.00617300876183, -1.9629532166291
-2.00617300876183, -1.96226920589106
-1.99935112270759, -1.96363722736714
-2.00139768852387, -1.96363722736714
-2.00549082015641, -1.96226920589106
-2.00480863155099, -1.96568925958127
-2.00139768852387, -1.9629532166291
-2.00344425434014, -1.9629532166291
-2.00617300876183, -1.96568925958127
-2.00344425434014, -1.96158519515302
-2.00480863155099, -1.96637327031931
-2.00412644294556, -1.96158519515302
-2.00480863155099, -1.9629532166291
-2.00617300876183, -1.96090118441498
-2.00753738597268, -1.96090118441498
-2.00412644294556, -1.96090118441498
-2.00685519736726, -1.9629532166291
-2.00207987712929, -1.96568925958127
-2.00344425434014, -1.96363722736714
-2.00276206573471, -1.96432123810519
-2.00139768852387, -1.96432123810519
-2.00549082015641, -1.96363722736714
-2.00344425434014, -1.96637327031931
-2.00344425434014, -1.96021717367694
-2.00480863155099, -1.96432123810519
-2.00139768852387, -1.9595331629389
-2.00480863155099, -1.96432123810519
-2.00139768852387, -1.96363722736714
-2.00276206573471, -1.96363722736714
-2.00617300876183, -1.96226920589106
-2.00344425434014, -1.96363722736714
-2.00207987712929, -1.9629532166291
-2.00139768852387, -1.96158519515302
-2.00207987712929, -1.96158519515302
-2.00480863155099, -1.96500524884323
-2.00412644294556, -1.96432123810519
-2.00207987712929, -1.96226920589106
-2.00003331131302, -1.96021717367694
-2.00276206573471, -1.96432123810519
-2.00207987712929, -1.96158519515302
-2.00480863155099, -1.96021717367694
-2.00071549991844, -1.96226920589106
-2.00412644294556, -1.96568925958127
-2.00276206573471, -1.9629532166291
-2.00071549991844, -1.96500524884323
-2.00003331131302, -1.96226920589106
-1.99866893410217, -1.96226920589106
-2.00003331131302, -1.96637327031931
-1.99866893410217, -1.96158519515302
-2.00412644294556, -1.96432123810519
-2.00071549991844, -1.96637327031931
-2.00344425434014, -1.9629532166291
-2.00412644294556, -1.96637327031931
-2.00276206573471, -1.96226920589106
-1.99798674549675, -1.96226920589106
-2.00071549991844, -1.96158519515302
-2.00003331131302, -1.96568925958127
-2.00276206573471, -1.96432123810519
-2.00003331131302, -1.96363722736714
-2.00276206573471, -1.96158519515302
-2.00207987712929, -1.96363722736714
-1.99798674549675, -1.96363722736714
-1.99935112270759, -1.96090118441498
-1.99935112270759, -1.96568925958127
-2.00207987712929, -1.96774129179539
-2.00003331131302, -1.9629532166291
-1.99798674549675, -1.96637327031931
-1.99935112270759, -1.96363722736714
-1.99935112270759, -1.96363722736714
-2.00139768852387, -1.96363722736714
-2.00344425434014, -1.96363722736714
-2.00071549991844, -1.96363722736714
-2.00207987712929, -1.96363722736714
-2.00003331131302, -1.96363722736714
-1.9966223682859, -1.96637327031931
-2.00071549991844, -1.96910931327147
-1.99866893410217, -1.96500524884323
-2.00139768852387, -1.96568925958127
-2.00207987712929, -1.96363722736714
-1.99935112270759, -1.96158519515302
-2.00139768852387, -1.96363722736714
-2.00207987712929, -1.96226920589106
-2.00207987712929, -1.96432123810519
-1.99798674549675, -1.96568925958127
-1.99935112270759, -1.96637327031931
-1.99798674549675, -1.96363722736714
-1.99866893410217, -1.96705728105735
-1.99935112270759, -1.9629532166291
-1.99935112270759, -1.96568925958127
-1.99935112270759, -1.9595331629389
-2.00207987712929, -1.96568925958127
-2.00071549991844, -1.96500524884323
-1.99935112270759, -1.96432123810519
-1.99866893410217, -1.96568925958127
-1.99730455689132, -1.9629532166291
-2.00139768852387, -1.96158519515302
-1.99866893410217, -1.96637327031931
-1.9966223682859, -1.96568925958127
-1.99457580246963, -1.96226920589106
-1.99730455689132, -1.96226920589106
-1.99866893410217, -1.96842530253343
-1.99798674549675, -1.96090118441498
-1.99730455689132, -1.96363722736714
-1.99935112270759, -1.96432123810519
-1.99457580246963, -1.96432123810519
-1.99525799107505, -1.96910931327147
-1.99798674549675, -1.96090118441498
-1.99594017968047, -1.96363722736714
-1.99457580246963, -1.96432123810519
-1.99525799107505, -1.96021717367694
-1.99798674549675, -1.96363722736714
-2.00207987712929, -1.97184535622364
-1.99798674549675, -1.95884915220086
-1.99730455689132, -1.96637327031931
-1.99866893410217, -1.96705728105735
-1.9966223682859, -1.95816514146281
-1.99594017968047, -1.96637327031931
-1.9966223682859, -1.96637327031931
-1.99866893410217, -1.96774129179539
-1.99525799107505, -1.96363722736714
-1.99594017968047, -1.96637327031931
-1.99525799107505, -1.96774129179539
-1.99935112270759, -1.96158519515302
-1.99730455689132, -1.96500524884323
-1.99798674549675, -1.96774129179539
-1.99594017968047, -1.96842530253343
-1.99730455689132, -1.96432123810519
-1.99594017968047, -1.9629532166291
-1.99866893410217, -1.96774129179539
-1.99525799107505, -1.96568925958127
-1.9966223682859, -1.96568925958127
-1.99252923665335, -1.96774129179539
-1.99866893410217, -1.96637327031931
-1.99594017968047, -1.96705728105735
-1.99730455689132, -1.96568925958127
-1.99730455689132, -1.96363722736714
-1.99730455689132, -1.96637327031931
-1.99866893410217, -1.96568925958127
-1.99457580246963, -1.96226920589106
-1.99730455689132, -1.96842530253343
-1.99730455689132, -1.96979332400952
-1.99866893410217, -1.96842530253343
-1.99252923665335, -1.96500524884323
-1.9938936138642, -1.96432123810519
-1.99321142525878, -1.96432123810519
-1.99525799107505, -1.96637327031931
-1.9938936138642, -1.96432123810519
-1.99525799107505, -1.96910931327147
-1.99457580246963, -1.96705728105735
-1.99525799107505, -1.96432123810519
-1.99730455689132, -1.96842530253343
-1.99730455689132, -1.96432123810519
-1.99457580246963, -1.96705728105735
-1.9966223682859, -1.96568925958127
-1.99252923665335, -1.96363722736714
-1.99252923665335, -1.96705728105735
-1.99252923665335, -1.96500524884323
-1.99594017968047, -1.96432123810519
-1.99525799107505, -1.96568925958127
-1.99184704804793, -1.96910931327147
-1.99252923665335, -1.9629532166291
-1.99457580246963, -1.9629532166291
-1.9938936138642, -1.96705728105735
-1.9966223682859, -1.96568925958127
-1.99935112270759, -1.96226920589106
-1.99866893410217, -1.96842530253343
-1.9966223682859, -1.96637327031931
-1.99184704804793, -1.96568925958127
-1.99457580246963, -1.96979332400952
-1.99525799107505, -1.96705728105735
-1.99184704804793, -1.96363722736714
-1.99730455689132, -1.96568925958127
-1.99252923665335, -1.96363722736714
-1.99252923665335, -1.96637327031931
-1.99457580246963, -1.96500524884323
-1.99252923665335, -1.96226920589106
-1.9938936138642, -1.96774129179539
-1.99457580246963, -1.96637327031931
-1.99252923665335, -1.96637327031931
-1.99525799107505, -1.96363722736714
-1.99184704804793, -1.96705728105735
-1.99184704804793, -1.96226920589106
-1.99525799107505, -1.96432123810519
-1.99321142525878, -1.96568925958127
-1.99457580246963, -1.96568925958127
-1.99457580246963, -1.96842530253343
-1.99730455689132, -1.96432123810519
-1.99321142525878, -1.96090118441498
-1.99184704804793, -1.96158519515302
-1.99184704804793, -1.96568925958127
-1.9938936138642, -1.96500524884323
-1.99594017968047, -1.9629532166291
-1.99252923665335, -1.96500524884323
-1.99321142525878, -1.96226920589106
-1.99048267083708, -1.96842530253343
-1.98980048223166, -1.96637327031931
-1.99798674549675, -1.96637327031931
-1.99184704804793, -1.96500524884323
-1.9938936138642, -1.96705728105735
-1.99252923665335, -1.96500524884323
-1.98980048223166, -1.96363722736714
-1.99525799107505, -1.96363722736714
-1.99184704804793, -1.96705728105735
-1.99116485944251, -1.96432123810519
-1.9938936138642, -1.96432123810519
-1.9938936138642, -1.96363722736714
-1.99184704804793, -1.96842530253343
-1.99048267083708, -1.96568925958127
-1.99252923665335, -1.96432123810519
-1.99252923665335, -1.96568925958127
-1.98911829362623, -1.96568925958127
-1.99116485944251, -1.96568925958127
-1.99252923665335, -1.96432123810519
-1.99048267083708, -1.96500524884323
-1.99321142525878, -1.96500524884323
-1.99048267083708, -1.96705728105735
-1.99116485944251, -1.96637327031931
-1.99048267083708, -1.96705728105735
-1.98775391641539, -1.96226920589106
-1.98980048223166, -1.96842530253343
-1.98911829362623, -1.96637327031931
-1.99116485944251, -1.96568925958127
-1.99457580246963, -1.96363722736714
-1.98980048223166, -1.96568925958127
-1.98980048223166, -1.96090118441498
-1.99184704804793, -1.96363722736714
-1.98843610502081, -1.96568925958127
-1.99321142525878, -1.96910931327147
-1.99321142525878, -1.96226920589106
-1.99184704804793, -1.96910931327147
-1.99048267083708, -1.96500524884323
-1.99048267083708, -1.96363722736714
-1.98980048223166, -1.96432123810519
-1.99116485944251, -1.9629532166291
-1.98980048223166, -1.96363722736714
-1.98911829362623, -1.96705728105735
-1.98911829362623, -1.96705728105735
-1.99252923665335, -1.96774129179539
-1.99184704804793, -1.9711613454856
-1.99184704804793, -1.96500524884323
-1.99252923665335, -1.96637327031931
-1.98911829362623, -1.96637327031931
-1.98911829362623, -1.96842530253343
-1.99252923665335, -1.96705728105735
-1.99048267083708, -1.96705728105735
-1.99184704804793, -1.96500524884323
-1.99048267083708, -1.96363722736714
-1.98980048223166, -1.96432123810519
-1.99321142525878, -1.96363722736714
-1.98911829362623, -1.96979332400952
-1.99525799107505, -1.96432123810519
-1.99184704804793, -1.96568925958127
-1.99048267083708, -1.96158519515302
