Meta data
Physical channel, Start Time, Sample Interval, Sample Count
Channel 0 (PXI1Slot5/0), -0.0115309059136188, 0.000001, 28002
Channel 1 (PXI1Slot5/1), -0.0115309059136188, 0.000001, 28002

Data
Channel 0 (PXI1Slot5/0), Channel 1 (PXI1Slot5/1)
-1.98220439336728, -1.97797603215753
-1.98356391990092, -1.9820639799322
-1.99444013216998, -1.9766133828993
-1.98492344643455, -1.9820639799322
-1.99036155256908, -1.98342662919043
-1.98628297296818, -1.97525073364107
-1.97948534030002, -1.98615192770688
-1.99172107910272, -1.98070133067398
-1.98220439336728, -1.9820639799322
-1.98764249950182, -1.9820639799322
-1.98084486683365, -1.97525073364107
-1.98764249950182, -1.97388808438285
-1.98628297296818, -1.97933868141575
-1.98356391990092, -1.98887722622334
-1.98900202603545, -1.98615192770688
-1.99308060563635, -1.97797603215753
-1.98900202603545, -1.97933868141575
-1.98764249950182, -1.97797603215753
-1.98356391990092, -1.98070133067398
-1.98764249950182, -1.98342662919043
-1.99172107910272, -1.98342662919043
-1.98764249950182, -1.98615192770688
-1.98900202603545, -1.98478927844866
-1.98356391990092, -1.97933868141575
-1.98492344643455, -1.98751457696511
-1.98084486683365, -1.9766133828993
-1.98628297296818, -1.98070133067398
-1.98492344643455, -1.98751457696511
-1.97676628723275, -1.98751457696511
-1.98900202603545, -1.98478927844866
-1.98492344643455, -1.98887722622334
-1.98900202603545, -1.9820639799322
-1.98628297296818, -1.9766133828993
-1.98900202603545, -1.9766133828993
-1.99308060563635, -1.98478927844866
-1.99308060563635, -1.98342662919043
-1.99172107910272, -1.97933868141575
-1.99308060563635, -1.98887722622334
-1.98900202603545, -1.98070133067398
-1.98628297296818, -1.99023987548156
-1.98764249950182, -1.9820639799322
-1.98628297296818, -1.97797603215753
-1.98084486683365, -1.98342662919043
-1.98764249950182, -1.98615192770688
-1.98356391990092, -1.99023987548156
-1.99036155256908, -1.98615192770688
-1.99715918523725, -1.9820639799322
-1.99036155256908, -1.98070133067398
-1.98220439336728, -1.97797603215753
-1.98900202603545, -1.97797603215753
-1.98764249950182, -1.9766133828993
-1.99036155256908, -1.98615192770688
-1.98900202603545, -1.9820639799322
-1.99444013216998, -1.99023987548156
-1.99172107910272, -1.97797603215753
-1.98900202603545, -1.98887722622334
-1.99308060563635, -1.9820639799322
-1.98628297296818, -1.98342662919043
-1.98628297296818, -1.98342662919043
-1.99036155256908, -1.98070133067398
-1.98628297296818, -1.98887722622334
-1.98492344643455, -1.9820639799322
-1.98628297296818, -1.98478927844866
-1.98492344643455, -1.98615192770688
-1.99715918523725, -1.98342662919043
-1.98764249950182, -1.97525073364107
-1.98628297296818, -1.98342662919043
-1.98084486683365, -1.98478927844866
-1.98492344643455, -1.99160252473979
-1.99036155256908, -1.98478927844866
-1.98356391990092, -1.98615192770688
-1.98628297296818, -1.97797603215753
-1.98492344643455, -1.98751457696511
-1.99172107910272, -1.97252543512462
-1.98764249950182, -1.97797603215753
-1.98628297296818, -1.97933868141575
-1.98900202603545, -1.97525073364107
-1.98628297296818, -1.98342662919043
-1.98764249950182, -1.98342662919043
-1.98356391990092, -1.97797603215753
-1.98900202603545, -1.97933868141575
-1.98764249950182, -1.98615192770688
-1.98628297296818, -1.98342662919043
-1.99036155256908, -1.99160252473979
-1.99036155256908, -1.98887722622334
-1.98356391990092, -1.98342662919043
-1.98356391990092, -1.98751457696511
-1.98764249950182, -1.97797603215753
-1.98492344643455, -1.99160252473979
-1.98628297296818, -1.97797603215753
-1.98900202603545, -1.98751457696511
-1.99987823830452, -1.98342662919043
-1.98492344643455, -1.98070133067398
-1.98628297296818, -1.97933868141575
-1.99172107910272, -1.97933868141575
-1.99308060563635, -1.98751457696511
-1.98764249950182, -1.97525073364107
-1.99036155256908, -1.98342662919043
-1.98764249950182, -1.98751457696511
-1.98628297296818, -1.97525073364107
-1.99172107910272, -1.98478927844866
-1.99036155256908, -1.98342662919043
-1.98220439336728, -1.98342662919043
-1.98356391990092, -1.98751457696511
-1.98492344643455, -1.98342662919043
-1.98220439336728, -1.98751457696511
-1.98356391990092, -1.98478927844866
-1.99036155256908, -1.99160252473979
-1.99308060563635, -1.97797603215753
-1.98220439336728, -1.98342662919043
-1.98628297296818, -1.98070133067398
-1.98900202603545, -1.97933868141575
-1.98764249950182, -1.9820639799322
-1.99172107910272, -1.97933868141575
-1.99172107910272, -1.98887722622334
-1.98628297296818, -1.97797603215753
-1.98492344643455, -1.98070133067398
-1.99172107910272, -1.98342662919043
-1.99036155256908, -1.9820639799322
