	Meta data			
	Physical channel	 Start Time	 Sample Interval	 Sample Count
	Channel 0 (PXI1Slot5/0)	-0.48993584	0.00000704	100000
	Channel 1 (PXI1Slot5/1)	-0.48993584	0.00000704	100000
				
	Data			
Time	Channel 0 (PXI1Slot5/0)	 Channel 1 (PXI1Slot5/1)		
0.00142912	-0.025010515	0.939520564		
0.00143616	-0.025843765	0.939794261		
0.0014432	-0.024732765	0.940067958		
0.00145024	-0.027788015	0.938425775		
0.00145728	-0.025288265	0.941436444		
0.00146432	-0.025288265	0.938973169		
0.00147136	-0.025843765	0.939246867		
0.0014784	-0.025843765	0.938152078		
0.00148544	-0.029732265	0.946089295		
0.00149248	-0.024732765	0.941162746		
0.00149952	-0.025010515	0.939794261		
0.00150656	-0.025566015	0.940615352		
0.0015136	-0.026399265	0.941710141		
0.00152064	-0.027232515	0.939794261		
0.00152768	-0.024732765	0.940341655		
0.00153472	-0.026677015	0.941162746		
0.00154176	-0.027232515	0.941162746		
0.0015488	-0.026954765	0.941436444		
0.00155584	-0.023899515	0.938973169		
0.00156288	-0.025566015	0.939520564		
0.00156992	-0.025843765	0.939246867		
0.00157696	-0.026954765	0.938699472		
0.001584	-0.025566015	0.940067958		
0.00159104	-0.024732765	0.938699472		
0.00159808	-0.024177265	0.937878381		
0.00160512	-0.026121515	0.939246867		
0.00161216	-0.024455015	0.939520564		
0.0016192	-0.024732765	0.941710141		
0.00162624	-0.025288265	0.938425775		
0.00163328	-0.024177265	0.940341655		
0.00164032	-0.025010515	0.940889049		
0.00164736	-0.026399265	0.943352324		
0.0016544	-0.024177265	0.940341655		
0.00166144	-0.025288265	0.937878381		
0.00166848	-0.026677015	0.938152078		
0.00167552	-0.023899515	0.938973169		
0.00168256	-0.024455015	0.935962501		
0.0016896	-0.025010515	0.939520564		
0.00169664	-0.025010515	0.939520564		
0.00170368	-0.026677015	0.940067958		
0.00171072	-0.028065765	0.941436444		
0.00171776	-0.024732765	0.938699472		
0.0017248	-0.024455015	0.941162746		
0.00173184	-0.025288265	0.940341655		
0.00173888	-0.025010515	0.938973169		
0.00174592	-0.024455015	0.940341655		
0.00175296	-0.026677015	0.938699472		
0.00176	-0.024455015	0.934867712		
0.00176704	-0.025010515	0.938699472		
0.00177408	-0.025288265	0.938425775		
0.00178112	-0.025010515	0.941162746		
0.00178816	-0.025288265	0.938425775		
0.0017952	-0.025010515	0.939246867		
0.00180224	-0.024732765	0.938152078		
0.00180928	-0.025010515	0.940615352		
0.00181632	-0.025288265	0.938425775		
0.00182336	-0.025566015	0.938425775		
0.0018304	-0.024732765	0.940067958		
0.00183744	-0.024732765	0.938699472		
0.00184448	-0.025843765	0.938699472		
0.00185152	-0.024732765	0.940889049		
0.00185856	-0.027788015	0.938425775		
0.0018656	-0.023621765	0.937330987		
0.00187264	-0.024455015	0.941710141		
0.00187968	-0.025843765	0.937604684		
0.00188672	-0.025010515	0.939246867		
0.00189376	-0.025288265	0.939246867		
0.0019008	-0.025843765	0.940889049		
0.00190784	-0.025843765	0.939794261		
0.00191488	-0.023344015	0.939520564		
0.00192192	-0.022788515	0.937330987		
0.00192896	-0.025288265	0.938699472		
0.001936	-0.025010515	0.941436444		
0.00194304	-0.023621765	0.939794261		
0.00195008	-0.026399265	0.940341655		
0.00195712	-0.025566015	0.940615352		
0.00196416	-0.025010515	0.940615352		
0.0019712	-0.024732765	0.941436444		
0.00197824	-0.025843765	0.938152078		
0.00198528	-0.025288265	0.940067958		
0.00199232	-0.025010515	0.940615352		
0.00199936	-0.025288265	0.940067958		
0.0020064	-0.026121515	0.939520564		
0.00201344	-0.025010515	0.939520564		
0.00202048	-0.023899515	0.939246867		
0.00202752	-0.025566015	0.939246867		
0.00203456	-0.025010515	0.940341655		
0.0020416	-0.024177265	0.940067958		
0.00204864	-0.025288265	0.938699472		
0.00205568	-0.027232515	0.940067958		
0.00206272	-0.023621765	0.940067958		
0.00206976	-0.026121515	0.940067958		
0.0020768	-0.024177265	0.938973169		
0.00208384	-0.023066265	0.938152078		
0.00209088	-0.025566015	0.938973169		
0.00209792	-0.025843765	0.940067958		
0.00210496	-0.026399265	0.938152078		
0.002112	-0.024455015	0.940615352		
0.00211904	-0.026399265	0.939520564		
0.00212608	-0.026677015	0.939794261		
0.00213312	-0.024455015	0.940341655		
0.00214016	-0.025010515	0.940615352		
0.0021472	-0.025566015	0.939794261		
0.00215424	-0.025566015	0.938152078		
0.00216128	-0.025288265	0.939794261		
0.00216832	-0.026677015	0.938973169		
0.00217536	-0.025010515	0.940067958		
0.0021824	-0.027232515	0.938699472		
0.00218944	-0.025288265	0.939246867		
0.00219648	-0.028065765	0.942531232		
0.00220352	-0.026954765	0.941162746		
0.00221056	-0.026399265	0.939520564		
0.0022176	-0.026399265	0.939520564		
0.00222464	-0.025843765	0.940067958		
0.00223168	-0.024455015	0.939246867		
0.00223872	-0.025010515	0.939246867		
0.00224576	-0.024732765	0.940615352		
0.0022528	-0.027232515	0.940615352		
0.00225984	-0.025288265	0.939246867		
0.00226688	-0.026121515	0.940889049		
0.00227392	-0.026399265	0.941162746		
0.00228096	-0.025288265	0.939520564		
0.002288	-0.025566015	0.938973169		
0.00229504	-0.024732765	0.938973169		
0.00230208	-0.024732765	0.942257535		
0.00230912	-0.028065765	0.937330987		
0.00231616	-0.024732765	0.938152078		
0.0023232	-0.026121515	0.938152078		
0.00233024	-0.023344015	0.937604684		
0.00233728	-0.025843765	0.940341655		
0.00234432	-0.025010515	0.939794261		
0.00235136	-0.025010515	0.941436444		
0.0023584	-0.029176765	0.941983838		
0.00236544	-0.025843765	0.940067958		
0.00237248	-0.025843765	0.941436444		
0.00237952	-0.025288265	0.938425775		
0.00238656	-0.024732765	0.939520564		
0.0023936	-0.026677015	0.937878381		
0.00240064	-0.024732765	0.940341655		
0.00240768	-0.025288265	0.937878381		
0.00241472	-0.026677015	0.941983838		
0.00242176	-0.024455015	0.941436444		
0.0024288	-0.025288265	0.939520564		
0.00243584	-0.025566015	0.939246867		
0.00244288	-0.026121515	0.939520564		
0.00244992	-0.026121515	0.938973169		
0.00245696	-0.025843765	0.940889049		
0.002464	-0.023621765	0.938425775		
0.00247104	-0.025010515	0.937604684		
0.00247808	-0.026399265	0.940341655		
0.00248512	-0.025288265	0.939246867		
0.00249216	-0.024732765	0.940067958		
0.0024992	-0.025010515	0.937330987		
0.00250624	-0.026121515	0.940889049		
0.00251328	-0.023066265	0.937878381		
0.00252032	-0.026121515	0.935688804		
0.00252736	-0.024455015	0.940067958		
0.0025344	-0.026399265	0.938973169		
0.00254144	-0.025566015	0.939794261		
0.00254848	-0.026399265	0.941436444		
0.00255552	-0.023899515	0.940067958		
0.00256256	-0.023621765	0.940341655		
0.0025696	-0.026677015	0.938699472		
0.00257664	-0.023621765	0.938425775		
0.00258368	-0.024177265	0.941436444		
0.00259072	-0.027788015	0.939520564		
0.00259776	-0.024177265	0.938425775		
0.0026048	-0.026121515	0.939794261		
0.00261184	-0.025843765	0.938973169		
0.00261888	-0.026121515	0.939794261		
0.00262592	-0.024732765	0.938973169		
0.00263296	-0.022788515	0.937604684		
0.00264	-0.025288265	0.938152078		
0.00264704	-0.027788015	0.937878381		
0.00265408	-0.026399265	0.940889049		
0.00266112	-0.027510265	0.940615352		
0.00266816	-0.023899515	0.938425775		
0.0026752	-0.026121515	0.940341655		
0.00268224	-0.024732765	0.939520564		
0.00268928	-0.024455015	0.938425775		
0.00269632	-0.025843765	0.940067958		
0.00270336	-0.025010515	0.941162746		
0.0027104	-0.025010515	0.939794261		
0.00271744	-0.025010515	0.938973169		
0.00272448	-0.024455015	0.939794261		
0.00273152	-0.025288265	0.939246867		
0.00273856	-0.025566015	0.940341655		
0.0027456	-0.025843765	0.937330987		
0.00275264	-0.026399265	0.938425775		
0.00275968	-0.025843765	0.940067958		
0.00276672	-0.024732765	0.938699472		
0.00277376	-0.024455015	0.939520564		
0.0027808	-0.026121515	0.940341655		
0.00278784	-0.026677015	0.939246867		
0.00279488	-0.023621765	0.937330987		
0.00280192	-0.026121515	0.937878381		
0.00280896	-0.026121515	0.938152078		
0.002816	-0.026121515	0.939520564		
0.00282304	-0.026399265	0.940341655		
0.00283008	-0.024455015	0.938425775		
0.00283712	-0.026954765	0.939794261		
0.00284416	-0.024455015	0.939520564		
0.0028512	-0.025288265	0.939246867		
0.00285824	-0.023621765	0.937330987		
0.00286528	-0.023066265	0.940615352		
0.00287232	-0.025010515	0.940067958		
0.00287936	-0.025566015	0.938973169		
0.0028864	-0.025843765	0.940067958		
0.00289344	-0.023621765	0.940341655		
0.00290048	-0.025288265	0.939246867		
0.00290752	-0.025843765	0.938699472		
0.00291456	-0.026399265	0.939246867		
0.0029216	-0.025566015	0.940067958		
0.00292864	-0.026121515	0.938699472		
0.00293568	-0.025843765	0.939246867		
0.00294272	-0.023621765	0.938152078		
0.00294976	-0.024732765	0.938152078		
0.0029568	-0.024732765	0.941162746		
0.00296384	-0.026677015	0.940889049		
0.00297088	-0.025843765	0.939246867		
0.00297792	-0.025288265	0.940341655		
0.00298496	-0.025843765	0.938699472		
0.002992	-0.026399265	0.940067958		
0.00299904	-0.025010515	0.938973169		
0.00300608	-0.024177265	0.939794261		
0.00301312	-0.026399265	0.939794261		
0.00302016	-0.024177265	0.940067958		
0.0030272	-0.024177265	0.938425775		
0.00303424	-0.024455015	0.939246867		
0.00304128	-0.026954765	0.939520564		
0.00304832	-0.024177265	0.940067958		
0.00305536	-0.026399265	0.938699472		
0.0030624	-0.025566015	0.939520564		
0.00306944	-0.027510265	0.941710141		
0.00307648	-0.027232515	0.940067958		
0.00308352	-0.025566015	0.940615352		
0.00309056	-0.024455015	0.938699472		
0.0030976	-0.025288265	0.939794261		
0.00310464	-0.026121515	0.939246867		
0.00311168	-0.026121515	0.939794261		
0.00311872	-0.024455015	0.939246867		
0.00312576	-0.027788015	0.939520564		
0.0031328	-0.026121515	0.940067958		
0.00313984	-0.025566015	0.938699472		
0.00314688	-0.025010515	0.940341655		
0.00315392	-0.025010515	0.938973169		
0.00316096	-0.027232515	0.939794261		
0.003168	-0.026121515	0.940615352		
0.00317504	-0.027510265	0.940067958		
0.00318208	-0.025843765	0.940615352		
0.00318912	-0.025843765	0.939794261		
0.00319616	-0.024732765	0.937878381		
0.0032032	-0.025566015	0.938425775		
0.00321024	-0.024732765	0.939520564		
0.00321728	-0.025843765	0.938425775		
0.00322432	-0.026121515	0.939246867		
0.00323136	-0.025566015	0.938973169		
0.0032384	-0.025843765	0.937878381		
0.00324544	-0.022233015	0.935688804		
0.00325248	-0.025288265	0.938425775		
0.00325952	-0.026677015	0.937604684		
0.00326656	-0.025010515	0.939246867		
0.0032736	-0.022788515	0.939794261		
0.00328064	-0.025843765	0.937878381		
0.00328768	-0.027788015	0.941162746		
0.00329472	-0.026677015	0.942804929		
0.00330176	-0.025010515	0.939794261		
0.0033088	-0.026677015	0.940889049		
0.00331584	-0.024732765	0.937057289		
0.00332288	-0.025566015	0.939246867		
0.00332992	-0.025566015	0.939246867		
0.00333696	-0.026677015	0.940889049		
0.003344	-0.025566015	0.939794261		
0.00335104	-0.024732765	0.940067958		
0.00335808	-0.026399265	0.940067958		
0.00336512	-0.025288265	0.938973169		
0.00337216	-0.024455015	0.938425775		
0.0033792	-0.023899515	0.935688804		
0.00338624	-0.023621765	0.938973169		
0.00339328	-0.025843765	0.939794261		
0.00340032	-0.025566015	0.939794261		
0.00340736	-0.026121515	0.937604684		
0.0034144	-0.026954765	0.940341655		
0.00342144	-0.025010515	0.937604684		
0.00342848	-0.025843765	0.940067958		
0.00343552	-0.027232515	0.935688804		
0.00344256	-0.026677015	0.938973169		
0.0034496	-0.024177265	0.940067958		
0.00345664	-0.026399265	0.939520564		
0.00346368	-0.025010515	0.939246867		
0.00347072	-0.025566015	0.940615352		
0.00347776	-0.025288265	0.940067958		
0.0034848	-0.026677015	0.938425775		
0.00349184	-0.025288265	0.940889049		
0.00349888	-0.025566015	0.941436444		
0.00350592	-0.024455015	0.939520564		
0.00351296	-0.023899515	0.938152078		
0.00352	-0.026677015	0.938425775		
0.00352704	-0.026121515	0.939246867		
0.00353408	-0.025843765	0.940341655		
0.00354112	-0.026677015	0.938973169		
0.00354816	-0.023899515	0.939246867		
0.0035552	-0.025566015	0.940067958		
0.00356224	-0.024455015	0.937330987		
0.00356928	-0.023899515	0.938973169		
0.00357632	-0.026121515	0.939246867		
0.00358336	-0.026677015	0.938973169		
0.0035904	-0.024177265	0.939794261		
0.00359744	-0.026677015	0.939246867		
0.00360448	-0.024732765	0.939246867		
0.00361152	-0.025843765	0.938425775		
0.00361856	-0.024177265	0.938152078		
0.0036256	-0.027232515	0.940067958		
0.00363264	-0.026399265	0.939520564		
0.00363968	-0.026121515	0.939246867		
0.00364672	-0.027232515	0.940067958		
0.00365376	-0.026121515	0.940341655		
0.0036608	-0.023899515	0.939520564		
0.00366784	-0.023899515	0.939246867		
0.00367488	-0.024732765	0.939246867		
0.00368192	-0.025843765	0.938973169		
0.00368896	-0.025843765	0.939520564		
0.003696	-0.025843765	0.940067958		
0.00370304	-0.025010515	0.938425775		
0.00371008	-0.025288265	0.939520564		
0.00371712	-0.025843765	0.940615352		
0.00372416	-0.025010515	0.936783592		
0.0037312	-0.025843765	0.939246867		
0.00373824	-0.026121515	0.939794261		
0.00374528	-0.025010515	0.939246867		
0.00375232	-0.024732765	0.938699472		
0.00375936	-0.026121515	0.940341655		
0.0037664	-0.025010515	0.940889049		
0.00377344	-0.026121515	0.938425775		
0.00378048	-0.024732765	0.938152078		
0.00378752	-0.025566015	0.937330987		
0.00379456	-0.024732765	0.940067958		
0.0038016	-0.026954765	0.938152078		
0.00380864	-0.026677015	0.940067958		
0.00381568	-0.025566015	0.938973169		
0.00382272	-0.025843765	0.939794261		
0.00382976	-0.023621765	0.939520564		
0.0038368	-0.025843765	0.939520564		
0.00384384	-0.025010515	0.938699472		
0.00385088	-0.026399265	0.941436444		
0.00385792	-0.025843765	0.938425775		
0.00386496	-0.027788015	0.940067958		
0.003872	-0.024177265	0.939246867		
0.00387904	-0.026121515	0.939520564		
0.00388608	-0.025843765	0.940067958		
0.00389312	-0.026121515	0.940889049		
0.00390016	-0.029176765	0.938973169		
0.0039072	-0.026677015	0.940067958		
0.00391424	-0.026399265	0.938152078		
0.00392128	-0.025843765	0.941436444		
0.00392832	-0.026954765	0.939520564		
0.00393536	-0.027232515	0.939794261		
0.0039424	-0.025010515	0.938699472		
0.00394944	-0.028065765	0.939246867		
0.00395648	-0.023621765	0.940615352		
0.00396352	-0.025010515	0.937878381		
0.00397056	-0.026677015	0.939520564		
0.0039776	-0.026954765	0.938699472		
0.00398464	-0.025566015	0.940341655		
0.00399168	-0.026399265	0.940067958		
0.00399872	-0.028065765	0.943078626		
0.00400576	-0.026677015	0.941983838		
0.0040128	-0.026677015	0.939520564		
0.00401984	-0.027788015	0.939794261		
0.00402688	-0.025843765	0.941162746		
0.00403392	-0.023899515	0.939794261		
0.00404096	-0.025010515	0.939246867		
0.004048	-0.025010515	0.940341655		
0.00405504	-0.027232515	0.941436444		
0.00406208	-0.025843765	0.938973169		
0.00406912	-0.024455015	0.940067958		
0.00407616	-0.025566015	0.940615352		
0.0040832	-0.026954765	0.938152078		
0.00409024	-0.026121515	0.940067958		
0.00409728	-0.026121515	0.940615352		
0.00410432	-0.027232515	0.940341655		
0.00411136	-0.026121515	0.940341655		
0.0041184	-0.025843765	0.937878381		
0.00412544	-0.025843765	0.938699472		
0.00413248	-0.025288265	0.938699472		
0.00413952	-0.025843765	0.939520564		
0.00414656	-0.024732765	0.938152078		
0.0041536	-0.026399265	0.938699472		
0.00416064	-0.023899515	0.932678135		
0.00416768	-0.026121515	0.939246867		
0.00417472	-0.026677015	0.938973169		
0.00418176	-0.026121515	0.939246867		
0.0041888	-0.029176765	0.940615352		
0.00419584	-0.025010515	0.938973169		
0.00420288	-0.025010515	0.940889049		
0.00420992	-0.024455015	0.938973169		
0.00421696	-0.027788015	0.943352324		
0.004224	-0.023899515	0.939520564		
0.00423104	-0.026954765	0.940341655		
0.00423808	-0.026399265	0.941710141		
0.00424512	-0.026399265	0.939794261		
0.00425216	-0.028065765	0.939520564		
0.0042592	-0.026954765	0.938973169		
0.00426624	-0.024732765	0.938425775		
0.00427328	-0.026954765	0.940067958		
0.00428032	-0.026399265	0.938973169		
0.00428736	-0.026121515	0.939246867		
0.0042944	-0.026954765	0.944447112		
0.00430144	-0.023344015	0.940615352		
0.00430848	-0.024455015	0.939794261		
0.00431552	-0.025843765	0.941710141		
0.00432256	-0.025010515	0.939520564		
0.0043296	-0.025288265	0.935962501		
0.00433664	-0.025288265	0.940067958		
0.00434368	-0.026121515	0.939520564		
0.00435072	-0.025843765	0.939246867		
0.00435776	-0.026399265	0.939520564		
0.0043648	-0.024732765	0.938973169		
0.00437184	-0.024732765	0.939794261		
0.00437888	-0.025566015	0.940615352		
0.00438592	-0.025566015	0.939794261		
0.00439296	-0.025566015	0.943352324		
0.0044	-0.023621765	0.939794261		
0.00440704	-0.026954765	0.940615352		
0.00441408	-0.025843765	0.939520564		
0.00442112	-0.026399265	0.940889049		
0.00442816	-0.026121515	0.940341655		
0.0044352	-0.025288265	0.937057289		
0.00444224	-0.027788015	0.939520564		
0.00444928	-0.024732765	0.938699472		
0.00445632	-0.026677015	0.937878381		
0.00446336	-0.027510265	0.939794261		
0.0044704	-0.026677015	0.937878381		
0.00447744	-0.023899515	0.938699472		
0.00448448	-0.023899515	0.939246867		
0.00449152	-0.025288265	0.933499227		
0.00449856	-0.026954765	0.939520564		
0.0045056	-0.025843765	0.939520564		
0.00451264	-0.025010515	0.939520564		
0.00451968	-0.025843765	0.938973169		
0.00452672	-0.026677015	0.940067958		
0.00453376	-0.026677015	0.937330987		
0.0045408	-0.025566015	0.939520564		
0.00454784	-0.025010515	0.939520564		
0.00455488	-0.025010515	0.938425775		
0.00456192	-0.027232515	0.941983838		
0.00456896	-0.025010515	0.939520564		
0.004576	-0.025566015	0.940067958		
0.00458304	-0.026399265	0.938425775		
0.00459008	-0.028065765	0.939246867		
0.00459712	-0.025010515	0.939520564		
0.00460416	-0.025843765	0.939520564		
0.0046112	-0.025010515	0.939520564		
0.00461824	-0.026677015	0.939520564		
0.00462528	-0.027232515	0.941983838		
0.00463232	-0.026399265	0.939520564		
0.00463936	-0.023344015	0.939520564		
0.0046464	-0.025566015	0.939246867		
0.00465344	-0.025843765	0.936783592		
0.00466048	-0.027232515	0.938152078		
0.00466752	-0.026399265	0.939246867		
0.00467456	-0.025566015	0.938973169		
0.0046816	-0.026399265	0.939520564		
0.00468864	-0.026399265	0.938973169		
0.00469568	-0.025566015	0.939520564		
0.00470272	-0.024732765	0.938973169		
0.00470976	-0.027232515	0.939520564		
0.0047168	-0.027510265	0.937878381		
0.00472384	-0.024732765	0.938152078		
0.00473088	-0.026677015	0.939246867		
0.00473792	-0.028343515	0.938973169		
0.00474496	-0.024732765	0.939794261		
0.004752	-0.026954765	0.939520564		
0.00475904	-0.024177265	0.938973169		
